0001	Bulbasaur	Bulbasaur   Seed Pokémon	たねポケモン	Seed Pokémon
0298	Azurill	Azurill	Polka Dot Pokémon	みずたまポケモン	Polka Dot Pokémon
0299	Nosepass	Nosepass	Compass Pokémon	コンパスポケモン	Compass Pokémon
0300	Skitty	Skitty	Kitten Pokémon	こねこポケモン	Kitten Pokémon
0301	Delcatty	Delcatty	Prim Pokémon	おすましポケモン	Prim and Proper Pokémon
0302	Sableye	Sableye	Darkness Pokémon	くらやみポケモン	Darkness Pokémon
0303	Mawile	Mawile	Deceiver Pokémon	あざむきポケモン	Deceiver Pokémon
0304	Aron	Aron	Iron Armor Pokémon	てつヨロイポケモン	Iron Armor Pokémon
0305	Lairon	Lairon	Iron Armor Pokémon	てつヨロイポケモン	Iron Armor Pokémon
0306	Aggron	Aggron	Iron Armor Pokémon	てつヨロイポケモン	Iron Armor Pokémon
0307	Meditite	Meditite	Meditate Pokémon	めいそうポケモン	Meditation Pokémon
0308	Medicham	Medicham	Meditate Pokémon	めいそうポケモン	Meditation Pokémon
0309	Electrike	Electrike	Lightning Pokémon	いなずまポケモン	Lightning Pokémon
0310	Manectric	Manectric	Discharge Pokémon	ほうでんポケモン	Discharge Pokémon
0311	Plusle	Plusle	Cheering Pokémon	おうえんポケモン	Cheering Pokémon
0312	Minun	Minun	Cheering Pokémon	おうえんポケモン	Cheering Pokémon
0313	Volbeat	Volbeat	Firefly Pokémon	ほたるポケモン	Firefly Pokémon
0314	Illumise	Illumise	Firefly Pokémon	ほたるポケモン	Firefly Pokémon
0315	Roselia	Roselia	Thorn Pokémon	いばらポケモン	Thorn Pokémon
0316	Gulpin	Gulpin	Stomach Pokémon	いぶくろポケモン	Stomach Pokémon
0317	Swalot	Swalot	Poison Bag Pokémon	どくぶくろポケモン	Poison Bag Pokémon
0318	Carvanha	Carvanha	Savage Pokémon	どうもうポケモン	Ferocious Pokémon
0319	Sharpedo	Sharpedo	Brutal Pokémon	きょうぼうポケモン	Brutal Pokémon
0320	Wailmer	Wailmer	Ball Whale Pokémon	たまくじらポケモン	Ball Whale Pokémon
0321	Wailord	Wailord	Float Whale Pokémon	うきくじらポケモン	Float Whale Pokémon
0322	Numel	Numel	Numb Pokémon	どんかんポケモン	Thickheaded Pokémon
0323	Camerupt	Camerupt	Eruption Pokémon	ふんかポケモン	Eruption Pokémon
0324	Torkoal	Torkoal	Coal Pokémon	せきたんポケモン	Coal Pokémon
0325	Spoink	Spoink	Bounce Pokémon	とびはねポケモン	Hopping Pokémon
0326	Grumpig	Grumpig	Manipulate Pokémon	あやつりポケモン	Manipulation Pokémon
0327	Spinda	Spinda	Spot Panda Pokémon	ぶちパンダポケモン	Spot Panda Pokémon
0328	Trapinch	Trapinch	Ant Pit Pokémon	ありじごくポケモン	Antlion Larva Pokémon
0329	Vibrava	Vibrava	Vibration Pokémon	しんどうポケモン	Vibration Pokémon
0330	Flygon	Flygon	Mystic Pokémon	せいれいポケモン	Spirit Pokémon
0331	Cacnea	Cacnea	Cactus Pokémon	サボテンポケモン	Cactus Pokémon
0332	Cacturne	Cacturne	Scarecrow Pokémon	カカシぐさポケモン	Scarecrow Plant Pokémon
0333	Swablu	Swablu	Cotton Bird Pokémon	わたどりポケモン	Cotton Bird Pokémon
0334	Altaria	Altaria	Humming Pokémon	ハミングポケモン	Humming Pokémon
0335	Zangoose	Zangoose	Cat Ferret Pokémon	ネコイタチポケモン	Mongoose Pokémon
0336	Seviper	Seviper	Fang Snake Pokémon	キバへびポケモン	Fang Snake Pokémon
0337	Lunatone	Lunatone	Meteorite Pokémon	いんせきポケモン	Meteorite Pokémon
0338	Solrock	Solrock	Meteorite Pokémon	いんせきポケモン	Meteorite Pokémon
0339	Barboach	Barboach	Whiskers Pokémon	ひげうおポケモン	Whisker Fish Pokémon
0340	Whiscash	Whiscash	Whiskers Pokémon	ひげうおポケモン	Whisker Fish Pokémon
0341	Corphish	Corphish	Ruffian Pokémon	ごろつきポケモン	Rogue Pokémon
0342	Crawdaunt	Crawdaunt	Rogue Pokémon	ならずものポケモン	Ruffian Pokémon
0343	Baltoy	Baltoy	Clay Doll Pokémon	どぐうポケモン	Clay Figure Pokémon
0344	Claydol	Claydol	Clay Doll Pokémon	どぐうポケモン	Clay Figure Pokémon
0345	Lileep	Lileep	Sea Lily Pokémon	ウミユリポケモン	Sea Lily Pokémon
0346	Cradily	Cradily	Barnacle Pokémon	いわつぼポケモン	Stone Cup Pokémon
0347	Anorith	Anorith	Old Shrimp Pokémon	むかしエビポケモン	Ancient Shrimp Pokémon
0348	Armaldo	Armaldo	Plate Pokémon	かっちゅうポケモン	Armor Pokémon
0349	Feebas	Feebas	Fish Pokémon	さかなポケモン	Fish Pokémon
0350	Milotic	Milotic	Tender Pokémon	いつくしみポケモン	Affection Pokémon
0351	Castform	Castform	Weather Pokémon	てんきポケモン	Weather Pokémon
0352	Kecleon	Kecleon	Color Swap Pokémon	いろへんげポケモン	Color Change Pokémon
0353	Shuppet	Shuppet	Puppet Pokémon	にんぎょうポケモン	Doll Pokémon
0354	Banette	Banette	Marionette Pokémon	ぬいぐるみポケモン	Stuffed Toy Pokémon
0355	Duskull	Duskull	Requiem Pokémon	おむかえポケモン	Approaching Death Pokémon
0356	Dusclops	Dusclops	Beckon Pokémon	てまねきポケモン	Beckoning Pokémon
0357	Tropius	Tropius	Fruit Pokémon	フルーツポケモン	Fruit Pokémon
0358	Chimecho	Chimecho	Wind Chime Pokémon	ふうりんポケモン	Wind Chime Pokémon
0359	Absol	Absol	Disaster Pokémon	わざわいポケモン	Disaster Pokémon
0360	Wynaut	Wynaut	Bright Pokémon	ほがらかポケモン	Merry Pokémon
0361	Snorunt	Snorunt	Snow Hat Pokémon	ゆきかさポケモン	Snow Umbrella Pokémon
0362	Glalie	Glalie	Face Pokémon	がんめんポケモン	Face Pokémon
0363	Spheal	Spheal	Clap Pokémon	てたたきポケモン	Clap Pokémon
0364	Sealeo	Sealeo	Ball Roll Pokémon	たままわしポケモン	Ball Roll Pokémon
0365	Walrein	Walrein	Ice Break Pokémon	こおりわりポケモン	Ice Breaker Pokémon
0366	Clamperl	Clamperl	Bivalve Pokémon	2まいがいポケモン	Bivalve Pokémon
0367	Huntail	Huntail	Deep Sea Pokémon	しんかいポケモン	Deep Sea Pokémon
0368	Gorebyss	Gorebyss	South Sea Pokémon	なんかいポケモン	South Sea Pokémon
0369	Relicanth	Relicanth	Longevity Pokémon	ちょうじゅポケモン	Longevity Pokémon
0370	Luvdisc	Luvdisc	Rendezvous Pokémon	ランデブーポケモン	Rendezvous Pokémon
0371	Bagon	Bagon	Rock Head Pokémon	いしあたまポケモン	Hard-Headed Pokémon
0372	Shelgon	Shelgon	Endurance Pokémon	にんたいポケモン	Patient Pokémon
0373	Salamence	Salamence	Dragon Pokémon	ドラゴンポケモン	Dragon Pokémon
0374	Beldum	Beldum	Iron Ball Pokémon	てっきゅうポケモン	Iron Ball Pokémon
0375	Metang	Metang	Iron Claw Pokémon	てつツメポケモン	Iron Claw Pokémon
0376	Metagross	Metagross	Iron Leg Pokémon	てつあしポケモン	Iron Leg Pokémon
0377	Regirock	Regirock	Rock Peak Pokémon	いわやまポケモン	Rocky Mountain Pokémon
0378	Regice	Regice	Iceberg Pokémon	ひょうざんポケモン	Iceberg Pokémon
0379	Registeel	Registeel	Iron Pokémon	くろがねポケモン	Iron Pokémon
0380	Latias	Latias	Eon Pokémon	むげんポケモン	Infinity Pokémon
0381	Latios	Latios	Eon Pokémon	むげんポケモン	Infinity Pokémon
0382	Kyogre	Kyogre	Sea Basin Pokémon	かいていポケモン	Seabed Pokémon
0383	Groudon	Groudon	Continent Pokémon	たいりくポケモン	Continent Pokémon
0384	Rayquaza	Rayquaza	Sky High Pokémon	てんくうポケモン	Sky Pokémon
0385	Jirachi	Jirachi	Wish Pokémon	ねがいごとポケモン	Wish Pokémon
0386	Deoxys	Deoxys	DNA Pokémon	DNAポケモン	DNA Pokémon
0387	Turtwig	Turtwig	Tiny Leaf Pokémon	わかばポケモン	New Leaf Pokémon
0388	Grotle	Grotle	Grove Pokémon	こだちポケモン	Grove Pokémon
0389	Torterra	Torterra	Continent Pokémon	たいりくポケモン	Continent Pokémon
0390	Chimchar	Chimchar	Chimp Pokémon	こざるポケモン	Small Monkey Pokémon
0391	Monferno	Monferno	Playful Pokémon	やんちゃポケモン	Mischievous Pokémon
0392	Infernape	Infernape	Flame Pokémon	かえんポケモン	Flame Pokémon
0393	Piplup	Piplup	Penguin Pokémon	ペンギンポケモン	Penguin Pokémon
0394	Prinplup	Prinplup	Penguin Pokémon	ペンギンポケモン	Penguin Pokémon
0395	Empoleon	Empoleon	Emperor Pokémon	こうていポケモン	Emperor Pokémon
0396	Starly	Starly	Starling Pokémon	むくどりポケモン	Starling Pokémon
0397	Staravia	Staravia	Starling Pokémon	むくどりポケモン	Starling Pokémon
0398	Staraptor	Staraptor	Predator Pokémon	もうきんポケモン	Bird of Prey Pokémon
0399	Bidoof	Bidoof	Plump Mouse Pokémon	まるねずみポケモン	Round Mouse Pokémon
0400	Bibarel	Bibarel	Beaver Pokémon	ビーバーポケモン	Beaver Pokémon
0401	Kricketot	Kricketot	Cricket Pokémon	こおろぎポケモン	Cricket Pokémon
0402	Kricketune	Kricketune	Cricket Pokémon	こおろぎポケモン	Cricket Pokémon
0403	Shinx	Shinx	Flash Pokémon	せんこうポケモン	Flash Pokémon
0404	Luxio	Luxio	Spark Pokémon	でんこうポケモン	Lightning Pokémon
0405	Luxray	Luxray	Gleam Eyes Pokémon	がんこうポケモン	Glinting Eyes Pokémon
0406	Budew	Budew	Bud Pokémon	つぼみポケモン	Bud Pokémon
0407	Roserade	Roserade	Bouquet Pokémon	ブーケポケモン	Bouquet Pokémon
0408	Cranidos	Cranidos	Head Butt Pokémon	ずつきポケモン	Head Butt Pokémon
0409	Rampardos	Rampardos	Head Butt Pokémon	ずつきポケモン	Head Butt Pokémon
0410	Shieldon	Shieldon	Shield Pokémon	シールドポケモン	Shield Pokémon
0411	Bastiodon	Bastiodon	Shield Pokémon	シールドポケモン	Shield Pokémon
0412	Burmy	Burmy	Bagworm Pokémon	みのむしポケモン	Bagworm Pokémon
0413	Wormadam	Wormadam	Bagworm Pokémon	みのむしポケモン	Bagworm Pokémon
0414	Mothim	Mothim	Moth Pokémon	ミノガポケモン	Bagworm Moth Pokémon
0415	Combee	Combee	Tiny Bee Pokémon	はちのこポケモン	Bee Larva Pokémon
0416	Vespiquen	Vespiquen	Beehive Pokémon	はちのすポケモン	Beehive Pokémon
0417	Pachirisu	Pachirisu	EleSquirrel Pokémon	でんきリスポケモン	Electric Squirrel Pokémon
0418	Buizel	Buizel	Sea Weasel Pokémon	うみイタチポケモン	Sea Weasel Pokémon
0419	Floatzel	Floatzel	Sea Weasel Pokémon	うみイタチポケモン	Sea Weasel Pokémon
0420	Cherubi	Cherubi	Cherry Pokémon	さくらんぼポケモン	Cherry Pokémon
0421	Cherrim	Cherrim	Blossom Pokémon	サクラポケモン	Cherry Blossom Pokémon
0422	Shellos	Shellos	Sea Slug Pokémon	ウミウシポケモン	Sea Slug Pokémon
0423	Gastrodon	Gastrodon	Sea Slug Pokémon	ウミウシポケモン	Sea Slug Pokémon
0424	Ambipom	Ambipom	Long Tail Pokémon	おながポケモン	Long Tail Pokémon
0425	Drifloon	Drifloon	Balloon Pokémon	ふうせんポケモン	Balloon Pokémon
0426	Drifblim	Drifblim	Blimp Pokémon	ききゅうポケモン	Blimp Pokémon
0427	Buneary	Buneary	Rabbit Pokémon	うさぎポケモン	Rabbit Pokémon
0428	Lopunny	Lopunny	Rabbit Pokémon	うさぎポケモン	Rabbit Pokémon
0429	Mismagius	Mismagius	Magical Pokémon	マジカルポケモン	Magical Pokémon
0430	Honchkrow	Honchkrow	Big Boss Pokémon	おおボスポケモン	Big Boss Pokémon
0431	Glameow	Glameow	Catty Pokémon	ねこかぶりポケモン	Beguiling Pokémon
0432	Purugly	Purugly	Tiger Cat Pokémon	とらねこポケモン	Tiger Cat Pokémon
0433	Chingling	Chingling	Bell Pokémon	すずポケモン	Bell Pokémon
0434	Stunky	Stunky	Skunk Pokémon	スカンクポケモン	Skunk Pokémon
0435	Skuntank	Skuntank	Skunk Pokémon	スカンクポケモン	Skunk Pokémon
0436	Bronzor	Bronzor	Bronze Pokémon	せいどうポケモン	Bronze Pokémon
0437	Bronzong	Bronzong	Bronze Bell Pokémon	どうたくポケモン	Bronze Bell Pokémon
0438	Bonsly	Bonsly	Bonsai Pokémon	ぼんさいポケモン	Bonsai Pokémon
0439	Mime Jr.	Mime Jr.	Mime Pokémon	マイムポケモン	Mime Pokémon
0440	Happiny	Happiny	Playhouse Pokémon	ままごとポケモン	Playing House Pokémon
0441	Chatot	Chatot	Music Note Pokémon	おんぷポケモン	Music Note Pokémon
0442	Spiritomb	Spiritomb	Forbidden Pokémon	ふういんポケモン	Sealed Pokémon
0443	Gible	Gible	Land Shark Pokémon	りくザメポケモン	Land Shark Pokémon
0444	Gabite	Gabite	Cave Pokémon	ほらあなポケモン	Cave Pokémon
0445	Garchomp	Garchomp	Mach Pokémon	マッハポケモン	Mach Pokémon
0446	Munchlax	Munchlax	Big Eater Pokémon	おおぐいポケモン	Gluttonous Pokémon
0447	Riolu	Riolu	Emanation Pokémon	はもんポケモン	Ripple Pokémon
0448	Lucario	Lucario	Aura Pokémon	はどうポケモン	Wave Pokémon
0449	Hippopotas	Hippopotas	Hippo Pokémon	カバポケモン	Hippo Pokémon
0450	Hippowdon	Hippowdon	Heavyweight Pokémon	じゅうりょうポケモン	Heavyweight Pokémon
0451	Skorupi	Skorupi	Scorpion Pokémon	さそりポケモン	Scorpion Pokémon
0452	Drapion	Drapion	Ogre Scorpion Pokémon	ばけさそりポケモン	Monster Scorpion Pokémon
0453	Croagunk	Croagunk	Toxic Mouth Pokémon	どくづきポケモン	Poison Stab Pokémon
0454	Toxicroak	Toxicroak	Toxic Mouth Pokémon	どくづきポケモン	Poison Stab Pokémon
0455	Carnivine	Carnivine	Bug Catcher Pokémon	むしとりポケモン	Bug Catcher Pokémon
0456	Finneon	Finneon	Wing Fish Pokémon	はねうおポケモン	Wing Fish Pokémon
0457	Lumineon	Lumineon	Neon Pokémon	ネオンポケモン	Neon Pokémon
0458	Mantyke	Mantyke	Kite Pokémon	カイトポケモン	Kite Pokémon
0459	Snover	Snover	Frost Tree Pokémon	じゅひょうポケモン	Frost-Covered Tree Pokémon
0460	Abomasnow	Abomasnow	Frost Tree Pokémon	じゅひょうポケモン	Frost-Covered Tree Pokémon
0461	Weavile	Weavile	Sharp Claw Pokémon	かぎづめポケモン	Claw Pokémon
0462	Magnezone	Magnezone	Magnet Area Pokémon	じばポケモン	Magnetic Field Pokémon
0463	Lickilicky	Lickilicky	Licking Pokémon	なめまわしポケモン	Licking Pokémon
0464	Rhyperior	Rhyperior	Drill Pokémon	ドリルポケモン	Drill Pokémon
0465	Tangrowth	Tangrowth	Vine Pokémon	ツルじょうポケモン	Vine Pokémon
0466	Electivire	Electivire	Thunderbolt Pokémon	らいでんポケモン	Thunder and Lightning Pokémon
0467	Magmortar	Magmortar	Blast Pokémon	ばくえんポケモン	Explosion Fume Pokémon
0468	Togekiss	Togekiss	Jubilee Pokémon	しゅくふくポケモン	Blessing Pokémon
0469	Yanmega	Yanmega	Ogre Darner Pokémon	オニトンボポケモン	Ogre Dragonfly Pokémon
0470	Leafeon	Leafeon	Verdant Pokémon	しんりょくポケモン	Fresh Verdure Pokémon
0471	Glaceon	Glaceon	Fresh Snow Pokémon	しんせつポケモン	Fresh Snow Pokémon
0472	Gliscor	Gliscor	Fang Scorpion Pokémon	キバさそりポケモン	Fang Scorpion Pokémon
0473	Mamoswine	Mamoswine	Twin Tusk Pokémon	2ほんキバポケモン	Twin Tusk Pokémon
0474	Porygon-Z	Porygon-Z	Virtual Pokémon	バーチャルポケモン	Virtual Pokémon
0475	Gallade	Gallade	Blade Pokémon	やいばポケモン	Blade Pokémon
0476	Probopass	Probopass	Compass Pokémon	コンパスポケモン	Compass Pokémon
0477	Dusknoir	Dusknoir	Gripper Pokémon	てづかみポケモン	Grasping Pokémon
0478	Froslass	Froslass	Snow Land Pokémon	ゆきぐにポケモン	Snow Country Pokémon
0479	Rotom	Rotom	Plasma Pokémon	プラズマポケモン	Plasma Pokémon
0480	Uxie	Uxie	Knowledge Pokémon	ちしきポケモン	Knowledge Pokémon
0481	Mesprit	Mesprit	Emotion Pokémon	かんじょうポケモン	Emotion Pokémon
0482	Azelf	Azelf	Willpower Pokémon	いしポケモン	Will Pokémon
0483	Dialga	Dialga	Temporal Pokémon	じかんポケモン	Time Pokémon
0484	Palkia	Palkia	Spatial Pokémon	くうかんポケモン	Space Pokémon
0485	Heatran	Heatran	Lava Dome Pokémon	かこうポケモン	Caldera Pokémon
0486	Regigigas	Regigigas	Colossal Pokémon	きょだいポケモン	Gigantic Pokémon
0487	Giratina	Giratina	Renegade Pokémon	はんこつポケモン	Rebellious Pokémon
0488	Cresselia	Cresselia	Lunar Pokémon	みかづきポケモン	Crescent Moon Pokémon
0489	Phione	Phione	Sea Drifter Pokémon	かいようポケモン	Ocean Pokémon
0490	Manaphy	Manaphy	Seafaring Pokémon	かいゆうポケモン	Migration Pokémon
0491	Darkrai	Darkrai	Pitch-Black Pokémon	あんこくポケモン	Darkness Pokémon
0492	Shaymin	Shaymin	Gratitude Pokémon	かんしゃポケモン	Gratitude Pokémon
0493	Arceus	Arceus	Alpha Pokémon	そうぞうポケモン	Creation Pokémon
0494	Victini	Victini	Victory Pokémon	しょうりポケモン	Victory Pokémon
0495	Snivy	Snivy	Grass Snake Pokémon	くさへびポケモン	Grass Snake Pokémon
0496	Servine	Servine	Grass Snake Pokémon	くさへびポケモン	Grass Snake Pokémon
0497	Serperior	Serperior	Regal Pokémon	ロイヤルポケモン	Royal Pokémon
0498	Tepig	Tepig	Fire Pig Pokémon	ひぶたポケモン	Fire Pig Pokémon
0499	Pignite	Pignite	Fire Pig Pokémon	ひぶたポケモン	Fire Pig Pokémon
0500	Emboar	Emboar	Mega Fire Pig Pokémon	おおひぶたポケモン	Big Fire Pig Pokémon
0501	Oshawott	Oshawott	Sea Otter Pokémon	ラッコポケモン	Sea Otter Pokémon
0502	Dewott	Dewott	Discipline Pokémon	しゅぎょうポケモン	Training Pokémon
0503	Samurott	Samurott	Formidable Pokémon	かんろくポケモン	Dignified Pokémon
0504	Patrat	Patrat	Scout Pokémon	みはりポケモン	Lookout Pokémon
0505	Watchog	Watchog	Lookout Pokémon	けいかいポケモン	Vigilant Pokémon
0506	Lillipup	Lillipup	Puppy Pokémon	こいぬポケモン	Puppy Pokémon
0507	Herdier	Herdier	Loyal Dog Pokémon	ちゅうけんポケモン	Faithful Dog Pokémon
0508	Stoutland	Stoutland	Big-Hearted Pokémon	かんだいポケモン	Tolerant Pokémon
0509	Purrloin	Purrloin	Devious Pokémon	しょうわるポケモン	Ill-Natured Pokémon
0510	Liepard	Liepard	Cruel Pokémon	れいこくポケモン	Cruel Pokémon
0511	Pansage	Pansage	Grass Monkey Pokémon	くさざるポケモン	Grass Monkey Pokémon
0512	Simisage	Simisage	Thorn Monkey Pokémon	とげざるポケモン	Thorn Monkey Pokémon
0513	Pansear	Pansear	High Temp Pokémon	こうおんポケモン	High Temperature Pokémon
0514	Simisear	Simisear	Ember Pokémon	ひのこポケモン	Sparks Pokémon
0515	Panpour	Panpour	Spray Pokémon	みずかけポケモン	Water Splash Pokémon
0516	Simipour	Simipour	Geyser Pokémon	ほうすいポケモン	High Water Pokémon
0517	Munna	Munna	Dream Eater Pokémon	ゆめくいポケモン	Dream Eater Pokémon
0518	Musharna	Musharna	Drowsing Pokémon	ゆめうつつポケモン	Trance Pokémon
0519	Pidove	Pidove	Tiny Pigeon Pokémon	こばとポケモン	Small Pigeon Pokémon
0520	Tranquill	Tranquill	Wild Pigeon Pokémon	のばとポケモン	Wild Pigeon Pokémon
0521	Unfezant	Unfezant	Proud Pokémon	プライドポケモン	Pride Pokémon
0522	Blitzle	Blitzle	Electrified Pokémon	たいでんポケモン	Electrified Pokémon
0523	Zebstrika	Zebstrika	Thunderbolt Pokémon	らいでんポケモン	Thunder and Lightning Pokémon
0524	Roggenrola	Roggenrola	Mantle Pokémon	マントルポケモン	Mantle Pokémon
0525	Boldore	Boldore	Ore Pokémon	こうせきポケモン	Ore Pokémon
0526	Gigalith	Gigalith	Compressed Pokémon	こうあつポケモン	High Pressure Pokémon
0527	Woobat	Woobat	Bat Pokémon	こうもりポケモン	Bat Pokémon
0528	Swoobat	Swoobat	Courting Pokémon	きゅうあいポケモン	Courting Pokémon
0529	Drilbur	Drilbur	Mole Pokémon	もぐらポケモン	Mole Pokémon
0530	Excadrill	Excadrill	Subterrene Pokémon	ちていポケモン	Deep Earth Pokémon
0531	Audino	Audino	Hearing Pokémon	ヒヤリングポケモン	Hearing Pokémon
0532	Timburr	Timburr	Muscular Pokémon	きんこつポケモン	Muscle Pokémon
0533	Gurdurr	Gurdurr	Muscular Pokémon	きんこつポケモン	Muscle Pokémon
0534	Conkeldurr	Conkeldurr	Muscular Pokémon	きんこつポケモン	Muscle Pokémon
0535	Tympole	Tympole	Tadpole Pokémon	おたまポケモン	Tadpole Pokémon
0536	Palpitoad	Palpitoad	Vibration Pokémon	しんどうポケモン	Vibration Pokémon
0537	Seismitoad	Seismitoad	Vibration Pokémon	しんどうポケモン	Vibration Pokémon
0538	Throh	Throh	Judo Pokémon	じゅうどうポケモン	Judo Pokémon
0539	Sawk	Sawk	Karate Pokémon	からてポケモン	Karate Pokémon
0540	Sewaddle	Sewaddle	Sewing Pokémon	さいほうポケモン	Sewing Pokémon
0541	Swadloon	Swadloon	Leaf-Wrapped Pokémon	はごもりポケモン	Forest Cloak Pokémon
0542	Leavanny	Leavanny	Nurturing Pokémon	こそだてポケモン	Child-Raising Pokémon
0543	Venipede	Venipede	Centipede Pokémon	ムカデポケモン	Centipede Pokémon
0544	Whirlipede	Whirlipede	Curlipede Pokémon	まゆムカデポケモン	Cocoon Centipede Pokémon
0545	Scolipede	Scolipede	Megapede Pokémon	メガムカデポケモン	Mega Centipede Pokémon
0546	Cottonee	Cottonee	Cotton Puff Pokémon	わたたまポケモン	Cotton Ball Pokémon
0547	Whimsicott	Whimsicott	Windveiled Pokémon	かぜかくれポケモン	Wind-Hidden Pokémon
0548	Petilil	Petilil	Bulb Pokémon	ねっこポケモン	Root Pokémon
0549	Lilligant	Lilligant	Flowering Pokémon	はなかざりポケモン	Flower Decoration Pokémon
0549	Lilligant	Lilligant
Hisuian Form	Spinning Pokémon	スピンポケモン	Spin Pokémon
0550	Basculin	Basculin	Hostile Pokémon	らんぼうポケモン	Violent Pokémon
0550	Basculin	Basculin
White-Striped Form	Mellow Pokémon	おんこうポケモン	Gentle Pokémon
0551	Sandile	Sandile	Desert Croc Pokémon	さばくワニポケモン	Desert Crocodile Pokémon
0552	Krokorok	Krokorok	Desert Croc Pokémon	さばくワニポケモン	Desert Crocodile Pokémon
0553	Krookodile	Krookodile	Intimidation Pokémon	いかくポケモン	Menacing Pokémon
0554	Darumaka	Darumaka	Zen Charm Pokémon	だるまポケモン	Daruma Pokémon
0555	Darmanitan	Darmanitan	Blazing Pokémon	えんじょうポケモン	Blazing Pokémon
0555	Darmanitan	Darmanitan
Galarian Form	Zen Charm Pokémon	だるまポケモン	Daruma Pokémon
0555	Darmanitan	Darmanitan
Galarian Form
Zen Mode	Blazing Pokémon	えんじょうポケモン	Blazing Pokémon
0556	Maractus	Maractus	Cactus Pokémon	サボテンポケモン	Cactus Pokémon
0557	Dwebble	Dwebble	Rock Inn Pokémon	いしやどポケモン	Stone Hermit Pokémon
0558	Crustle	Crustle	Stone Home Pokémon	いわやどポケモン	Rock Hermit Pokémon
0559	Scraggy	Scraggy	Shedding Pokémon	だっぴポケモン	Shedding Pokémon
0560	Scrafty	Scrafty	Hoodlum Pokémon	あくとうポケモン	Scoundrel Pokémon
0561	Sigilyph	Sigilyph	Avianoid Pokémon	とりもどきポケモン	Pseudo-Bird Pokémon
0562	Yamask	Yamask	Spirit Pokémon	たましいポケモン	Spirit Pokémon
0563	Cofagrigus	Cofagrigus	Coffin Pokémon	かんおけポケモン	Coffin Pokémon
0564	Tirtouga	Tirtouga	Prototurtle Pokémon	こだいがめポケモン	Ancient Turtle Pokémon
0565	Carracosta	Carracosta	Prototurtle Pokémon	こだいがめポケモン	Ancient Turtle Pokémon
0566	Archen	Archen	First Bird Pokémon	さいこどりポケモン	Oldest Bird Pokémon
0567	Archeops	Archeops	First Bird Pokémon	さいこどりポケモン	Oldest Bird Pokémon
0568	Trubbish	Trubbish	Trash Bag Pokémon	ゴミぶくろポケモン	Garbage Bag Pokémon
0569	Garbodor	Garbodor	Trash Heap Pokémon	ゴミすてばポケモン	Garbage Dump Pokémon
0570	Zorua	Zorua	Tricky Fox Pokémon	わるぎつねポケモン	Evil Fox Pokémon
0570	Zorua	Zorua
Hisuian Form	Spiteful Fox Pokémon	うらみぎつねポケモン	Grudge Fox Pokémon
0571	Zoroark	Zoroark	Illusion Fox Pokémon	ばけぎつねポケモン	Illusory Fox Pokémon
0571	Zoroark	Zoroark
Hisuian Form	Baneful Fox Pokémon	のろいぎつねポケモン	Curse Fox Pokémon
0572	Minccino	Minccino	Chinchilla Pokémon	チンチラポケモン	Chinchilla Pokémon
0573	Cinccino	Cinccino	Scarf Pokémon	スカーフポケモン	Scarf Pokémon
0574	Gothita	Gothita	Fixation Pokémon	ぎょうしポケモン	Stare Pokémon
0575	Gothorita	Gothorita	Manipulate Pokémon	あやつりポケモン	Manipulation Pokémon
0576	Gothitelle	Gothitelle	Astral Body Pokémon	てんたいポケモン	Heavenly Body Pokémon
0577	Solosis	Solosis	Cell Pokémon	さいぼうポケモン	Cell Pokémon
0578	Duosion	Duosion	Mitosis Pokémon	ぶんかつポケモン	Mitosis Pokémon
0579	Reuniclus	Reuniclus	Multiplying Pokémon	ぞうふくポケモン	Amplification Pokémon
0580	Ducklett	Ducklett	Water Bird Pokémon	みずどりポケモン	Waterfowl Pokémon
0581	Swanna	Swanna	White Bird Pokémon	しらとりポケモン	Swan Pokémon
0582	Vanillite	Vanillite	Fresh Snow Pokémon	しんせつポケモン	Fresh Snow Pokémon
0583	Vanillish	Vanillish	Icy Snow Pokémon	ひょうせつポケモン	Ice and Snow Pokémon
0584	Vanilluxe	Vanilluxe	Snowstorm Pokémon	ブリザードポケモン	Blizzard Pokémon
0585	Deerling	Deerling	Season Pokémon	きせつポケモン	Seasonal Pokémon
0586	Sawsbuck	Sawsbuck	Season Pokémon	きせつポケモン	Seasonal Pokémon
0587	Emolga	Emolga	Sky Squirrel Pokémon	モモンガポケモン	Flying Squirrel Pokémon
0588	Karrablast	Karrablast	Clamping Pokémon	かぶりつきポケモン	Bite Down Pokémon
0589	Escavalier	Escavalier	Cavalry Pokémon	きへいポケモン	Cavalry Pokémon
0590	Foongus	Foongus	Mushroom Pokémon	きのこポケモン	Mushroom Pokémon
0591	Amoonguss	Amoonguss	Mushroom Pokémon	きのこポケモン	Mushroom Pokémon
0592	Frillish	Frillish	Floating Pokémon	ふゆうポケモン	Floating Pokémon
0593	Jellicent	Jellicent	Floating Pokémon	ふゆうポケモン	Floating Pokémon
0594	Alomomola	Alomomola	Caring Pokémon	かいほうポケモン	Nursing Pokémon
0595	Joltik	Joltik	Attaching Pokémon	くっつきポケモン	Clinging Pokémon
0596	Galvantula	Galvantula	EleSpider Pokémon	でんきグモポケモン	Electric Spider Pokémon
0597	Ferroseed	Ferroseed	Thorn Seed Pokémon	とげのみポケモン	Spike Seed Pokémon
